,Price,Address First Line,Address Second Line,Number of Beds,Number of Full Bathrooms,Number of Half Bathrooms,Square Feet of Property,Lot Size
0,"$725,000",0 Gateway,"Rock Springs, WY 82901",None,None,None,None,
1,"$452,900",1003 Winchester Blvd.,"Rock Springs, WY 82901",4,4,None,None,0.21 Acres
2,"$396,900",600 Talladega,"Rock Springs, WY 82901",5,3,None,"3,154",
3,"$389,900",3239 Spearhead Way,"Rock Springs, WY 82901",4,3,1,"3,076","Under 1/2 Acre, "
4,"$254,000",522 Emerald Street,"Rock Springs, WY 82901",3,3,None,"1,172","Under 1/2 Acre, "
5,"$252,900",1302 Veteran's Drive,"Rock Springs, WY 82901",4,2,None,"1,932",0.27 Acres
6,"$210,000",1021 Cypress Cir,"Rock Springs, WY 82901",4,3,None,"1,676","Under 1/2 Acre, "
7,"$209,000",913 Madison Dr,"Rock Springs, WY 82901",3,2,None,"1,344","Under 1/2 Acre, "
8,"$199,900",1344 Teton Street,"Rock Springs, WY 82901",3,2,None,"1,920","Under 1/2 Acre, "
9,"$196,900",4 Minnies Lane,"Rock Springs, WY 82901",3,2,None,"1,664",2.02 Acres
